knihy_id,isbn,nazev,pocet_stran,rok_vydani,misto_vydani,nakladatel,vydani,druhy_id,jazyky_id,autor,edice
3,ISBN 80-7169-374-X,MS Project - řízení projektů,242,1997,Praha,Grada Publishing,1,1,1,"Adamec, František",
4,ISBN 1-85032-167-1,An Introduction to Neural Computing,21,1995,London,International Thomson Computer Press,2,1,2,"Aleksander, Igor -- Morton, Helen",
5,ISBN 80-251-0370-6,Moderní programování v C++ : návrhové vzory a generické programování v praxi,340,2004,Brno,Computer Press,1,1,1,"Alexandrescu, Andrei",
6,ISBN 0-201-73723-X,The CERT guide to system and network security practices,447,2001,Boston,Addison-Wesley,,1,2,"Allen, Julia H.",SEI series in software engineering
9,ISBN 80-85896-72-9,Mistrovství v CorelDRAW 6,32,1996,Praha,Computer Press,1,1,1,"Altman, Rick",
11,ISBN 0-471-16507-7,The VRML 2.0 sourcebook,654,1997,New York,Wiley,2,1,2,"Ames, Andrea L -- Nadeau, David R",
13,ISBN 80-7178-804-X,Úvod do filosofie,384,2004,Praha,Portál,2,1,1,"Anzenbacher, Arno",
15,ISBN 80-247-0301-7,Myslíme v jazyku C# : knihovna programátora,307,2002,Praha,Grada,1,1,1,"Archer, Tom",Myslíme v--
16,ISBN 80-7226-947-X,UML a unifikovaný proces vývoje aplikací : průvodce analýzou a návrhem objektově orientovaného softwaru,387,2003,Brno,Computer Press,1,1,1,"Arlow, Jim -- Neustadt, Ila",
17,ISBN 978-80-251-1503-9,UML 2 a unifikovaný proces vývoje aplikací : objektově orientovaná analýza a návrh prakticky,567,2007,Brno,Computer Press,2,1,1,"Arlow, Jim -- Neustadt, Ila",
19,ISBN 0-07-882241-6,Advanced Oracle Tuning and Administration,26,1997,Berkeley,Osborne Mc Graw-Hill,,1,2,"Aronoff, Eyal -- Loney, Kevin",
23,ISBN 0-07-709244-9.,The Information Systems Development Life Cycle: A First Course : in Information Systems,16,1997,London,McGraw-Hill Comp.,,1,2,"Avison, David E. -- Shah, H.U.",Information Systems Series
25,ISBN 80-200-0470-X,Teorie množin,462,2001,Praha,Academia,2,1,1,"Balcar, Bohuslav -- Štěpánek, Petr",
26,,Excel 4.0 : Kompendium znalostí a zkušeností,955,1993,Brno,UNIS,1,1,1,"Baloui, Said",
30,ISBN 1-57870-264-X,Writing information security policies,216,2002,Indianapolis,New Riders,,1,2,"Barman, Scott",
32,ISBN 0-321-32128-6,Preventing web attacks with Apache,582,2006,"Upper Saddle River, NJ",Addison-Wesley,,1,2,"Barnett, Ryan C",
33,ISBN 80-7226-852-X,SSH : kompletní průvodce,556,2003,Praha,Computer Press,1,1,1,"Barrett, Daniel J. -- Silverman, Richard E.",
36,ISBN 80-204-0607-7,Matematické vzorce,831,2002,Praha,Mladá fronta,3,1,1,"Bartsch, Hans-Jochen",
